6 0  3.05176E-04  5.26151E+00  80  0.00  0.00 -1.00  2.93776E+00
5 1  3.02242E+01  1.83460E+01  80  0.00  0.00 -1.00  3.10638E+00
6 2  2.13107E+01  8.75836E+00  80  0.00  0.00 -1.00  9.16581E-01
6 3  1.88178E+00  2.71546E+01  80  0.00  0.00 -1.00  1.83732E-01
6 4  2.71719E+01  3.73877E+01  80  0.00  0.00 -1.00  1.17045E+00
5 5  1.53401E+01  2.07767E+01  80  0.00  0.00 -1.00  8.67055E+00
6 6  3.32386E+01  1.38288E+00  80  0.00  0.00 -1.00  2.82454E+00
6 7  2.13846E+00  2.11880E+01  80  0.00  0.00 -1.00  1.11999E+01
5 8  2.68460E+01  3.07922E-01  80  0.00  0.00 -1.00  4.87577E+00
6 9  1.53366E+01  2.67368E+00  80  0.00  0.00 -1.00  6.37241E-01
6 10  1.66994E+01  2.74709E+01  80  0.00  0.00 -1.00  2.41135E-01
6 11  2.35591E+01  3.72175E+01  80  0.00  0.00 -1.00  1.23870E-01
6 12  3.38467E+01  2.10771E+01  80  0.00  0.00 -1.00  6.02417E-01
5 13  3.67859E+00  2.61567E+01  80  0.00  0.00 -1.00  1.53326E+00
6 14  1.66400E+01  2.80476E+01  80  0.00  0.00 -1.00  1.50531E+01
6 15  3.64128E+01  3.04879E+01  80  0.00  0.00 -1.00  4.27614E+00
5 16  1.04981E+01  1.89857E+00  80  0.00  0.00 -1.00  5.88863E+00
5 17  2.94433E+01  1.31294E+01  80  0.00  0.00 -1.00  7.77097E-01
6 18  2.53055E+01  3.02564E+01  80  0.00  0.00 -1.00  3.47246E+00
5 19  3.96415E+01  1.46135E+01  80  0.00  0.00 -1.00  2.64621E+00
5 20  9.88155E+00  3.93020E+01  80  0.00  0.00 -1.00  1.10169E+01
6 21  2.89064E+01  3.01342E+01  80  0.00  0.00 -1.00  3.86907E+00
5 22  2.60607E+01  2.90743E+00  80  0.00  0.00 -1.00  1.06395E+00
6 23  2.52654E+01  3.53883E+01  80  0.00  0.00 -1.00  3.54813E+00
6 24  1.09084E+01  1.74565E+01  80  0.00  0.00 -1.00  1.21795E+01
5 25  3.06598E+01  1.91093E+01  80  0.00  0.00 -1.00  4.91909E+00
6 26  9.51097E+00  1.09963E+01  80  0.00  0.00 -1.00  5.70998E+00
5 27  1.43706E+01  6.66028E+00  80  0.00  0.00 -1.00  6.94978E-01
6 28  1.94607E+01  3.59062E+01  80  0.00  0.00 -1.00  5.90171E-01
5 29  3.63683E+01  2.42257E+00  80  0.00  0.00 -1.00  5.79383E-01
5 30  3.61861E+01  2.01809E+01  80  0.00  0.00 -1.00  1.31409E+00
5 31  2.06517E+01  1.27613E+01  80  0.00  0.00 -1.00  1.88181E+00
6 32  3.94657E+01  1.97591E+01  80  0.00  0.00 -1.00  3.46601E+00
6 33  1.06458E+01  3.62931E+00  80  0.00  0.00 -1.00  2.24178E+00
5 34  3.79106E+01  2.94996E+00  80  0.00  0.00 -1.00  3.19720E-01
